timestamp,open,high,low,close,volume
1748871000,18250,18265.75,18244.22,18254.61,27489
1748871900,18254.61,18260.36,18246.82,18252.81,10322
1748872800,18252.81,18258.13,18245.7,18247.86,22908
1748873700,18247.86,18251.94,18242.7,18245.7,14726
1748874600,18245.7,18249.41,18239.17,18249.19,17778
1748875500,18249.19,18260,18246.23,18251.36,15349
1748876400,18251.36,18274.55,18248.88,18267.92,14130
1748877300,18267.92,18285.13,18263.02,18280.24,10890
1748878200,18280.24,18284.13,18261.54,18272.87,16932
1748879100,18272.87,18293.02,18267.02,18286.95,7805
1748880000,18286.95,18290.64,18282.17,18282.33,17893
1748880900,18282.33,18286.65,18260.23,18265.51,6649
1748881800,18265.51,18278.37,18263.02,18277.94,14941
1748882700,18277.94,18286.48,18269.43,18270.98,7844
1748883600,18270.98,18280.73,18262.76,18279.65,12258
1748884500,18279.65,18285.75,18274.43,18282.59,16663
1748885400,18282.59,18298.88,18282.08,18292.72,16504
1748886300,18292.72,18313.09,18286.03,18302.56,7496
1748887200,18302.56,18302.98,18298.51,18300.96,6722
1748888100,18300.96,18305.05,18299.88,18301.81,15664
1748889000,18301.81,18318.19,18294.65,18312.71,9254
1748889900,18312.71,18314.79,18303.54,18308.4,18562
1748890800,18308.4,18326.85,18305.68,18325.25,10434
1748891700,18325.25,18329.35,18320.14,18326.08,18332
1748892600,18326.08,18328.16,18310.41,18313.72,27987
1748893500,18313.72,18317.93,18308.45,18314.68,12295
1748957400,18322.45,18328.81,18300.43,18311.05,13143
1748958300,18311.05,18312.29,18309.78,18311.12,25319
1748959200,18311.12,18313.33,18299.89,18304.52,25932
1748960100,18304.52,18305.29,18286.63,18289.59,9702
1748961000,18289.59,18302.87,18288.38,18301.31,18491
1748961900,18301.31,18303.38,18296.92,18301.38,8225
1748962800,18301.38,18317.02,18300.83,18316.14,19632
1748963700,18316.14,18327.9,18309.28,18321.34,20878
1748964600,18321.34,18326.92,18310.49,18316.44,10785
1748965500,18316.44,18329.2,18310.56,18327.5,6243
1748966400,18327.5,18338.16,18322.25,18334.43,15647
1748967300,18334.43,18343.84,18332.81,18340.11,17922
1748968200,18340.11,18344.39,18338.29,18341.66,5038
1748969100,18341.66,18356.86,18333.52,18353.09,10149
1748970000,18353.09,18356.69,18338.85,18348.83,15982
1748970900,18348.83,18352.32,18327.52,18333.43,18553
